iters cors rmsds mean_rmsd id status
10000 0.504761904761905 0 0.955 1ZC5 TRUE
10000 0.230769230769231 0.963 0.963 2M4W TRUE
10000 0.318681318681319 1.712 0.893 2NCI TRUE
10000 0.418181818181818 2.566 5.56 2M8K TRUE
10000 0.371428571428571 1.535 2.67466666666667 2N2O TRUE
10000 0.123809523809524 2.457 3.30466666666667 2QH2 TRUE
10000 0.561904761904762 1.664 3.11366666666667 1XHP TRUE
10000 0.0666666666666667 0 3.11966666666667 2K66 TRUE
10000 0.161904761904762 2.486 3.98133333333333 2M21 TRUE
10000 0.142857142857143 0 4.837 2MEQ TRUE
10000 0.40952380952381 2.05 4.08233333333333 2N2P TRUE
10000 0.485714285714286 0.781 2.18833333333333 2N7X TRUE
10000 0.276190476190476 2.613 5.011 2QH4 TRUE
10000 0.142857142857143 1.428 4.53266666666667 2M22 TRUE
10000 0.123809523809524 0 6.199 2N4L TRUE
10000 -0.128205128205128 2.68 8.074 5KQE TRUE
10000 0.00952380952380952 3.798 4.534 1KKA FALSE
10000 0.219047619047619 1.277 5.473 2LUB TRUE
10000 0.40952380952381 1.764 3.54866666666667 2LBJ TRUE
10000 0.314285714285714 2.463 1.91066666666667 2LBL TRUE
10000 0.238095238095238 0 2.62733333333333 2LP9 TRUE
10000 0.6 3.028 1.29766666666667 2LV0 FALSE
10000 -0.0476190476190476 3.651 4.52833333333333 2LPA FALSE
10000 -0.276190476190476 2.661 6.65033333333333 2LDT TRUE
10000 0.626373626373626 0 1.29066666666667 2Y95 TRUE
10000 0.56043956043956 0 3.25666666666667 1SCL TRUE
10000 0.276190476190476 0.877 3.77966666666667 2M24 TRUE
10000 0.236363636363636 2.732 5.05666666666667 2MHI TRUE
10000 -0.104761904761905 0 6.995 2N6S TRUE
