iters cors rmsds mean_rmsd id status
10000 0.358974358974359 0.963 0.963 2M4W TRUE
10000 0.164835164835165 0 2.375 2MNC TRUE
10000 0.274725274725275 0.967 4.20466666666667 2NCI TRUE
10000 0.542857142857143 0.661 1.09133333333333 2QH4 TRUE
10000 0.390476190476191 0 6.199 2N4L TRUE
10000 0.657142857142857 0 0.693666666666667 2LBJ TRUE
10000 0.352380952380952 0.62 0.567 2LP9 TRUE
10000 0.657142857142857 0 1.8 2LV0 TRUE
10000 0.447619047619048 0 0.627333333333333 2LPA TRUE
10000 0.527272727272727 0 1.412 2MHI TRUE
10000 -0.219047619047619 0 7.59466666666667 2N6S TRUE
