iters cors rmsds mean_rmsd id status
10000 0.447619047619048 1.013 0.955 1ZC5 TRUE
10000 0.282051282051282 0.963 0.963 2M4W TRUE
10000 0.276190476190476 0.647 2.29066666666667 2M5U TRUE
10000 0.362637362637363 1.712 0.893 2NCI TRUE
10000 0.428571428571429 1.664 3.673 1XHP TRUE
10000 -0.0666666666666667 2.486 5.613 2M21 TRUE
10000 0.447619047619048 0.781 2.18833333333333 2N7X TRUE
10000 0.371428571428571 1.956 3.921 2QH4 TRUE
10000 0.0857142857142857 1.989 4.67466666666667 5A18 TRUE
10000 0.123809523809524 1.428 3.81866666666667 2M22 TRUE
10000 -0.0476190476190476 1.627 2.71333333333333 2MFD TRUE
10000 0.523809523809524 0 1.239 2N4L TRUE
10000 0.542857142857143 1.277 4.00866666666667 2LUB TRUE
10000 0.352380952380952 1.764 3.54866666666667 2LBJ TRUE
10000 0.2 1.795 2.09966666666667 2FDT TRUE
10000 0.333333333333333 2.463 3.098 2LBL TRUE
10000 0.295238095238095 0 0.567 2LP9 TRUE
10000 0.0857142857142857 0 3.46333333333333 2LPA TRUE
10000 0.257142857142857 1.839 6.304 2LHP TRUE
10000 0.604395604395604 0 1.29066666666667 2Y95 TRUE
10000 0.516483516483517 1.778 1.00866666666667 1SCL TRUE
10000 0.142857142857143 2.091 3.77966666666667 2M24 TRUE
10000 -0.0285714285714286 0 3.95533333333333 2N6S TRUE
